Rut Compañía;Compañía;Tipo;N° Patente;Marca;Modelo;Año;Color;Tipo de Siniestro/Perdida;Estado;Tipo operación;Fecha Operación;Monto Percibido M$
96508210-7;MAPFRE SEGUROS GENERALES;1;CWBV 29;CHERY;FACE 1,3;2011;CELESTE METALIZADO;2;3;1;29-11-2016;1041
96508210-7;MAPFRE SEGUROS GENERALES;2;CWWV 10;TOYOTA;HILUX DCAB TURBO 4X4 2,5;2011;NEGRO MICA;2;3;1;16-11-2016;3642
96508210-7;MAPFRE SEGUROS GENERALES;1;CYHL 72;VOLKSWAGEN;GOL G5 TRENDLINE HATCHBACK 1,6;2011;PLATEADO PLATA CIRIU;2;3;1;15-11-2016;1720
96508210-7;MAPFRE SEGUROS GENERALES;7;CZCP 63;HYUNDAI;SANTA FE FL GLS FULL 4X4 3,5 A;2011;NEGRO;2;3;1;30-11-2016;5110
96508210-7;MAPFRE SEGUROS GENERALES;1;CZTP 35;MAZDA;2 SPORT;2011;NEGRO;2;3;1;23-11-2016;2934
96508210-7;MAPFRE SEGUROS GENERALES;1;DCFK 78;SUZUKI;SWIFT 1,5 AT;2011;BLANCO PERLA;1;1;1;26-10-2016;708
96508210-7;MAPFRE SEGUROS GENERALES;7;DGPD 15;MACK;CXU 613;2011;BLANCO;2;3;1;16-11-2016;8702
96508210-7;MAPFRE SEGUROS GENERALES;1;DKCR 69;HYUNDAI;ELANTRA GLS 1,6;2012;ROJO;2;3;1;29-11-2016;3535
96508210-7;MAPFRE SEGUROS GENERALES;2;DPXP 18;TOYOTA;HILUX 2,5;2012;ROJO SUPER;2;3;1;16-11-2016;5363
96508210-7;MAPFRE SEGUROS GENERALES;7;DTFR 95;RENAULT;KANGOO FASE II 1,5;2012;BLANCO GLACIER;2;3;1;23-11-2016;1517
96508210-7;MAPFRE SEGUROS GENERALES;7;DTVJ 28;HYUNDAI;NEW H1 GL 2,5;2012;PLATEADO;2;3;1;23-11-2016;4148
96508210-7;MAPFRE SEGUROS GENERALES;1;DVDG 48;HYUNDAI;SONATA GLS 2,4;2012;PLATEADO GRIS;1;1;1;03-11-2016;1060
96508210-7;MAPFRE SEGUROS GENERALES;1;DZSH 45;NISSAN;SENTRA 2,0;2013;GRIS OSCURO;2;3;1;03-11-2016;1868
96508210-7;MAPFRE SEGUROS GENERALES;2;FBLH 87;FORD;NEW RANGER DCAB XLT 4X4 3,2;2013;ROJO BARI;2;3;1;09-11-2016;4857
96508210-7;MAPFRE SEGUROS GENERALES;1;FHJB 66;NISSAN;VERSA SENCE 1,6 AUT;2013;AZUL;2;3;1;09-11-2016;4148
96508210-7;MAPFRE SEGUROS GENERALES;2;FHVK 72;MAHINDRA;NEW PIK UP XL DCAB 2,2;2013;BLANCO;2;3;1;22-11-2016;2327
96508210-7;MAPFRE SEGUROS GENERALES;1;FLTS 47;CITROEN;C3 HDI 1,4;2013;GRIS MANITOBA;2;3;1;23-11-2016;3642
96508210-7;MAPFRE SEGUROS GENERALES;1;FRBV 75;HYUNDAI;ELANTRA GLS 1,6;2013;BLANCO;2;3;1;22-11-2016;4949
96508210-7;MAPFRE SEGUROS GENERALES;1;FRZH 60;HYUNDAI;I10 GLS 1,1;2013;CELESTE PLATEADO;2;3;1;08-11-2016;2226
96508210-7;MAPFRE SEGUROS GENERALES;1;FSJK 75;HYUNDAI;ACCENT RB GL;2013;BLANCO;2;3;1;29-11-2016;3636
96508210-7;MAPFRE SEGUROS GENERALES;1;FWWY 67;JAC;J2 1,0;2013;NEGRO;1;1;1;23-11-2016;414
96508210-7;MAPFRE SEGUROS GENERALES;1;FYCL 44;CHEVROLET;SAIL II LS 1,4;2013;PLATEADO PLATA;2;3;1;15-11-2016;2226
96508210-7;MAPFRE SEGUROS GENERALES;1;FYHV 65;CHEVROLET;SAIL II LS 1,4;2014;ROJO;1;1;1;26-10-2016;313
96508210-7;MAPFRE SEGUROS GENERALES;1;FZXH 82;SUZUKI;SX4 GLX 1,6;2013;NEGRO;2;3;1;15-11-2016;3035
96508210-7;MAPFRE SEGUROS GENERALES;7;GCZG 66;PEUGEOT;PARTNER MAXI HDI 1,6;2014;BLANCO BANQUISE;2;3;1;29-11-2016;4141
96508210-7;MAPFRE SEGUROS GENERALES;1;GGHX 67;KIA MOTORS;RIO 5 UB EX 1,4;2014;BLANCO INVIERNO;2;3;1;03-11-2016;3636
96508210-7;MAPFRE SEGUROS GENERALES;1;GJBY 61;KIA MOTORS;CERATO SX 1,6;2014;GRIS METALICO;2;3;1;08-11-2016;4755
96508210-7;MAPFRE SEGUROS GENERALES;1;GKSY 37;GREAT WALL;M4 HB 1,5;2014;AZUL OCEANO;2;3;1;16-11-2016;2124
96508210-7;MAPFRE SEGUROS GENERALES;2;GRRT 50;NISSAN;NAVARA SE 2,5;2014;ROJO INTENSO;2;3;1;22-11-2016;5151
96508210-7;MAPFRE SEGUROS GENERALES;7;GSWH 54;HYUNDAI;NEW TUCSON LM FL 2,0 GL 2V;2014;NEGRO;1;1;1;08-11-2016;2644
96508210-7;MAPFRE SEGUROS GENERALES;1;GTFJ 75;BYD;NEW F3 GS I 1,5;2014;PLATEADO ATHENS;2;3;1;09-11-2016;1720
96508210-7;MAPFRE SEGUROS GENERALES;7;GTPF 14;SUBARU;ALL NEW FORESTER AWD CVT 2,5I;2015;GRIS OSCURO METALICO;2;3;1;26-10-2016;5666
96508210-7;MAPFRE SEGUROS GENERALES;2;GTTV 62;NISSAN;NAVARA 4X4 2,5;2015;BLANCO;2;3;1;09-11-2016;7386
96508210-7;MAPFRE SEGUROS GENERALES;2;GYSL 92;CHEVROLET;DMAX II 2,5;2015;BLANCO;2;3;1;09-11-2016;5869
96508210-7;MAPFRE SEGUROS GENERALES;1;GZHV 99;MAZDA;NEW 3 2,0;2015;ROJO;2;3;1;23-11-2016;4857
96508210-7;MAPFRE SEGUROS GENERALES;1;HCFY 35;CHANGAN;CS1 CROSS HB 1,4;2015;PLATEADO PLATA;2;3;1;22-11-2016;1872
96508210-7;MAPFRE SEGUROS GENERALES;7;HCLY 18;MERCEDES BENZ;SPRINTER 315 CDI;2014;BLANCO;1;1;1;16-11-2016;131
96508210-7;MAPFRE SEGUROS GENERALES;1;HDBC 50;PEUGEOT;208 ACTIVE HDI 1,4;2015;GRIS ALUMINIUM;2;3;1;22-11-2016;3131
96508210-7;MAPFRE SEGUROS GENERALES;7;HDLH 58;PEUGEOT;2008 ACTIVE E HDI 1,6;2015;BLANCO NACARADO;2;3;1;16-11-2016;3136
96508210-7;MAPFRE SEGUROS GENERALES;1;HDRP 86;NISSAN;MARCH ACTIVE 1,6;2015;PLATEADO PLATA;2;3;1;30-11-2016;2580
96508210-7;MAPFRE SEGUROS GENERALES;2;HDXS 55;FIAT;STRADA ADVENTURE DCAB 1,6;2015;BLANCO BANQUISA;2;3;1;26-10-2016;3946
96508210-7;MAPFRE SEGUROS GENERALES;7;HHRG 12;BRILLIANCE;V5 SPORT 1,5;2015;ROJO;2;3;1;15-11-2016;3642
96508210-7;MAPFRE SEGUROS GENERALES;1;HJJV 63;MAZDA;NEW 3 2,0;2015;BLANCO;2;3;1;26-10-2016;4857
96508210-7;MAPFRE SEGUROS GENERALES;7;HJJW 58;HYUNDAI;H1 GLS CRDI 2,5;2015;BLANCO;2;3;1;30-11-2016;8601
96508210-7;MAPFRE SEGUROS GENERALES;1;HPZK 55;CHEVROLET;SAIL LS 1,5;2016;AZUL CIELO;2;3;1;29-11-2016;2878
96508210-7;MAPFRE SEGUROS GENERALES;1;HRTV 20;HYUNDAI;ACCENT RB GL 1,4;2016;BLANCO;1;1;1;26-10-2016;607
96508210-7;MAPFRE SEGUROS GENERALES;1;HSFJ 66;VOLKSWAGEN;GOL POWER 1,6;2016;PLATEADO SIRIUS;2;3;1;16-11-2016;1619
96508210-7;MAPFRE SEGUROS GENERALES;1;HTZS 27;JAC;HB 1,0;2016;ROJO;2;3;1;08-11-2016;2074
96508210-7;MAPFRE SEGUROS GENERALES;2;HWGZ 43;NISSAN;NP300 DCAB 4X4 2,3;2016;NARANJO IMPERIAL;2;3;1;26-10-2016;7994
96508210-7;MAPFRE SEGUROS GENERALES;7;JL 9613;WABASH;DRY VAN;2007;CELESTE;2;3;1;26-10-2016;5464
96508210-7;MAPFRE SEGUROS GENERALES;7;VL 2699;FIAT;FIORINO 1,3;2003;BLANCO BANCHISA;2;3;1;22-11-2016;858
96508210-7;MAPFRE SEGUROS GENERALES;7;VT 8124;SUZUKI;GRAND VITARA;2003;PLATEADO;2;3;1;22-11-2016;2428
96508210-7;MAPFRE SEGUROS GENERALES;7;VY 9915;SUZUKI;GRAND NOMADE XL7 4X4 2,7 AUT;2003;PLATEADO;2;3;1;09-11-2016;2023
96508210-7;MAPFRE SEGUROS GENERALES;7;WA 6456;SUBARU;NEW FORESTER 2,0X AWD AT;2006;BLANCO GRIS;2;3;1;23-11-2016;1022
96508210-7;MAPFRE SEGUROS GENERALES;1;WE 2171;MAZDA;3 SPORT 1,6 AT;2006;NEGRO;2;3;1;15-11-2016;1619
96508210-7;MAPFRE SEGUROS GENERALES;1;WR 2555;KIA MOTORS;RIO JB LX 1,4;2006;PLATEADO OSCURO;2;3;1;09-11-2016;1720
96508210-7;MAPFRE SEGUROS GENERALES;1;WT 1156;MAZDA;3 2,0 AT;2007;GRIS OSCURO;2;3;1;08-11-2016;2327
96508210-7;MAPFRE SEGUROS GENERALES;7;YX 9431;SUZUKI;JIMNY JLX 1,3;2005;ROJO;2;3;1;29-11-2016;1868
96508210-7;MAPFRE SEGUROS GENERALES;1;ZB 6348;TOYOTA;COROLLA 1,6;2006;CELESTE MICA;2;3;1;22-11-2016;2121
96508210-7;MAPFRE SEGUROS GENERALES;1;ZJ 1291;SUBARU;NEW LEGACY 2,0I AWD AT;2006;PLATEADO CLARO;2;3;1;09-11-2016;1821
96654180-6;CONSORCIO NACIONAL;1;BBRP 44;SAMSUNG;SM5 LE 2.0 AUT;2008;PLATEADO PLATA;2;3;1;08-11-2016;1922,65
96654180-6;CONSORCIO NACIONAL;1;BLBD 64;SUZUKI;SWIFT GL 1.3;2008;NEGRO;2;3;1;15-11-2016;1558,9
96654180-6;CONSORCIO NACIONAL;7;BPKF 73;CHEVROLET;CAPTIVA LT AWD 2.0 AT;2008;ROJO KANDISKI;2;3;1;22-11-2016;3013,88
96654180-6;CONSORCIO NACIONAL;1;BSSG 35;KIA;MORNING II EX EPS 1.1;2009;PLATEADO PLATA BRILL;1;3;1;08-11-2016;676,09
96654180-6;CONSORCIO NACIONAL;7;CFYH 64;CHEVROLET;TRAVERSE LT SU AWD 3.6 AUT;2010;GRIS CYBER METALICO;2;3;1;08-11-2016;5767,94
96654180-6;CONSORCIO NACIONAL;7;CHDP 56;NISSAN;NEW XTRAIL 4WD 2.5 AUT;2010;PLATEADO METALICO;2;3;1;22-11-2016;2754,06
96654180-6;CONSORCIO NACIONAL;1;CPBG 57;TOYOTA;AVENSIS GLI 2.0;2010;BLANCO;2;3;1;08-11-2016;3429,59
96654180-6;CONSORCIO NACIONAL;1;CRHY 92;BYD;F3 GLX I 1.5;2010;BLANCO TIMO;2;3;1;08-11-2016;1039,27
96654180-6;CONSORCIO NACIONAL;1;CRTG 65;SUZUKI;SWIFT GL HATCHBACK 1.5;2010;BLANCO PERLA;2;3;1;08-11-2016;2234,43
96654180-6;CONSORCIO NACIONAL;1;CWLG 77;CHEVROLET;SAIL 1.4;2011;PLATEADO PLATA;2;3;1;22-11-2016;1506,94
96654180-6;CONSORCIO NACIONAL;1;CWPD 89;SAMSUNG;SM3;2011;PLATEADO CLARO;1;2;1;21-11-2016;945
96654180-6;CONSORCIO NACIONAL;1;CXSS 63;CHEVROLET;AVEO LT 1.4;2011;PLATEADO PLATA METAL;2;3;1;08-11-2016;2286,39
96654180-6;CONSORCIO NACIONAL;1;CZHW 16;HYUNDAI;SONATA YF GLS FWD 2.0 AUT;2011;GRIS GRAFITO;2;3;1;08-11-2016;3117,81
96654180-6;CONSORCIO NACIONAL;7;DCZB 72;JEEP;COMPASS;2011;GRIS;2;2;1;15-11-2016;4515
96654180-6;CONSORCIO NACIONAL;1;DDFP 37;RENAULT;MEGANE III HB DYNAMIQUE 2.0;2011;BLANCO GLACIER;2;3;1;08-11-2016;3065,84
96654180-6;CONSORCIO NACIONAL;1;DDXS 40;RENAULT;MEGANE III;2011;ROJO DINAMICO;2;2;1;21-11-2016;2520
96654180-6;CONSORCIO NACIONAL;7;DHBX 63;DAIHATSU;TERIOS STD 1.5;2011;AZUL MICA METALICO;2;3;1;08-11-2016;2598,17
96654180-6;CONSORCIO NACIONAL;1;DHHG 61;TOYOTA;YARIS SPORT XLI 1.3;2011;BLANCO;2;3;1;08-11-2016;1714,79
96654180-6;CONSORCIO NACIONAL;7;DJJC 21;HYUNDAI;SANTA FE FL GLS CRDI 4X4 2.2;2012;NEGRO;1;3;1;08-11-2016;2212,68
96654180-6;CONSORCIO NACIONAL;2;DKWK 24;MAHINDRA;NEW PIK UP D CAB 4X4 2.2;2012;BLANCO;2;3;1;22-11-2016;3221,73
96654180-6;CONSORCIO NACIONAL;1;DPKP 64;HYUNDAI;I 10 GLS 1.1;2012;GRIS GRAFITO;2;3;1;15-11-2016;1247,12
96654180-6;CONSORCIO NACIONAL;2;DPKX 82;CHEVROLET;MONTANA II SPORT RC 1.8;2012;NEGRO;2;3;1;22-11-2016;2026,57
96654180-6;CONSORCIO NACIONAL;1;DPRF 42;SKODA;FABIA SPORT 1.6;2012;PLATEADO METALICO;2;3;1;22-11-2016;2078,54
96654180-6;CONSORCIO NACIONAL;4;DRDY 63;YUEJIN;NJ 612;2012;BLANCO;2;2;1;15-11-2016;1785
96654180-6;CONSORCIO NACIONAL;1;DSFW 27;CHEVROLET;AVEO 1.4;2012;AZUL CLARO MET;2;3;1;15-11-2016;1922,65
96654180-6;CONSORCIO NACIONAL;1;DTTS 87;SAMSUNG;SM 3 SE 16;2012;PLATEADO CLARO;2;3;1;22-11-2016;1558,9
96654180-6;CONSORCIO NACIONAL;2;DWWT 45;SSANGYONG;NEW ACTYON SPORT 2.0;2012;BLANCO;2;3;1;15-11-2016;3429,59
96654180-6;CONSORCIO NACIONAL;1;DZKK 57;CHEVROLET;SAIL 1.4;2013;BLANCO;2;3;1;15-11-2016;1922,65
96654180-6;CONSORCIO NACIONAL;1;FDPZ 61;KIA;RIO 5 UB EX 1.4;2012;BLANCO INVIERNO;2;3;1;15-11-2016;3117,81
96654180-6;CONSORCIO NACIONAL;1;FGJF 56;HYUNDAI;ELANTRA GLS 1.8;2013;DORADO;1;3;1;08-11-2016;799,02
96654180-6;CONSORCIO NACIONAL;2;FGRW 53;MAHINDRA;PIK UP XL 2.2;2012;PLATEADO;2;3;1;15-11-2016;2182,46
96654180-6;CONSORCIO NACIONAL;1;FJCL 45;GREAT WALL;VOLEEX C10 1.5;2013;NEGRO PERLADO;2;3;1;08-11-2016;2182,46
96654180-6;CONSORCIO NACIONAL;1;FJDV 64;HYUNDAI;ACCENT RB GLS 1.4;2013;GRIS GRAFITO;2;3;1;15-11-2016;3741,37
96654180-6;CONSORCIO NACIONAL;7;FKHL 16;HONDA;CR V LX 2.4 AUT;2013;AZUL;2;3;1;08-11-2016;5300,27
96654180-6;CONSORCIO NACIONAL;1;FSJC 91;CHEVROLET;SPARK GT II LT 1.2;2013;ROJO;2;3;1;22-11-2016;2494,24
96654180-6;CONSORCIO NACIONAL;1;FWFX 40;HYUNDAI;VELOSTER;2013;AZUL OCEANO;2;3;1;21-11-2016;3990
96654180-6;CONSORCIO NACIONAL;1;FWHP 85;TOYOTA;COROLLA GLI 1.6;2013;BLANCO;2;3;1;08-11-2016;1974,61
96654180-6;CONSORCIO NACIONAL;1;FWZJ 17;MAZDA;NEW 6 2.0 AT;2013;GRIS GRAFITO;2;3;1;15-11-2016;6027,76
96654180-6;CONSORCIO NACIONAL;1;FYJL 45;HYUNDAI;VELOSTER GLS 1.6;2014;ROJO BURDEO;2;3;1;22-11-2016;4053,15
96654180-6;CONSORCIO NACIONAL;1;FYTW 66;MERCEDES BENZ;CLA 250;2014;PLATEADO PLATA;2;3;1;15-11-2016;8677,9
96654180-6;CONSORCIO NACIONAL;7;FZKH 22;FORD;NEW ESCAPE 2.5 AUT;2014;AZUL METALICO;2;3;1;22-11-2016;4572,78
96654180-6;CONSORCIO NACIONAL;7;FZTH 76;HYUNDAI;SANTA FE GLS 2.2 AT;2014;PLATEADO;2;3;1;15-11-2016;8937,72
96654180-6;CONSORCIO NACIONAL;1;GBJR 45;SAMSUNG;SM3 ENTRY 1.6;2013;BLANCO;2;3;1;22-11-2016;1558,9
96654180-6;CONSORCIO NACIONAL;1;GDBL 52;AUDI;A6 TFSI 2.0 AUT;2014;AZUL AVIADOR METALIC;1;3;1;15-11-2016;4179,51
96654180-6;CONSORCIO NACIONAL;1;GDDC 22;BMW;114I SPORT 1.6;2014;BLANCO;2;3;1;08-11-2016;6651,32
96654180-6;CONSORCIO NACIONAL;2;GFJX 13;DODGE;NEW RAM 1500 SLT 4X4 3.6 AUT;2014;NEGRO;1;3;1;15-11-2016;2335,61
96654180-6;CONSORCIO NACIONAL;1;GFYL 60;MG;3;2014;ROJO;2;2;1;30-11-2016;1890
